,CompanyName,JobTitle,JobDescription,Overall_rating,Comp_Benefits,Culture_Values,Career_Opportunities,Work_Life_Balance,Senior_Management
0,Invest Bots Limited,Data Scientist,"InvBots.com (Invest Bots Limited), is a fast growing fin-tech with clear vision, game-changing strategies and extensive experience, network in global financial industry. R&D is our key assets. Now, we are seeking talented AI Scientist(s) to join the growing and highly motivated development team. Our team members can work experienced fund manager, entrepreneur and university professors.
We are well-funded, with a beautiful office located in Causeway Bay. Visit our website at www.invbots.com.
Responsibilities:
Develop and design centralized financial model cloud platform
Develop and design survey robot system
Develop and lead natural language processing project in the finance area
Participate wide range of AI/deep learning and data science research projects
Develop and design investment robot system using data-mining, machine learning, deep learning and other related algorithms
Qualification and Requirement:
Phd / Master students of Computer Science, Engineering, Mathematices, Statistics, Acturial Science or equivalent/above.
Software development experience in python, C#, SQL, PHP, Javascript
Team player, strong problem solving skills, critical thinking and execellent communication skills
Experience working with and creating data architectures and ability to draw insights from large datasets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. is an advantage
Good written and spoken English, Cantonese and Mandarin
We offer competitive remuneration package to the right candidate.
Interested applicant should apply with detailed resume and expected salary by email to hr@invbots.com",,,,,,
1,IBM,Data Scientist,"Introduction
n/a
Your Role and Responsibilities
p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 10.0px 'Lucida Grande'; color: #0433ff}
IBM
p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 10.0px Helvetica}
p.p2 {margin: 0.0px 0.0px 0.0px 0.0px; font: 10.0px Helvetica; min-height: 12.0px}
Required Technical and Professional Expertise
p.p1 {margin: 0.0px 0.0px 0.0px 0.0px; font: 10.0px 'Lucida Grande'; color: #0433ff}
1-3
3. java/python/C/C++sql
LRD/R Tree modelBoostingBaggingSVMClusteringPCAGBDTXGBoost
6.
Preferred Technical and Professional Expertise
n/a
About Business Unit
Digitization is accelerating the ongoing evolution of business, and clouds - public, private, and hybrid - enable companies to extend their existing infrastructure and integrate across systems. IBM Cloud provides the security, control, and visibility that our clients have come to expect. We are working to provide the right tools and environment to combine all of our clients data, no matter where it resides, to respond to changing market dynamics.
Your Life @ IBM
n/a
About IBM
n/a
Location Statement
For additional information about location requirements, please discuss with the recruiter following submission of your application.
Being You @ IBM
IBM is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. IBM is also committed to compliance with all fair employment practices regarding citizenship and immigration status.",3.7,3.2,3.8,3.6,3.9,3.1
2,Morningstar,Data Scientist,"The Group:
Morningstarâ€™s Research group provides independent analysis on individual securities, funds, markets, and portfolios. The Research group also provides data on hundreds of thousands of investment offerings, including stocks, mutual funds, and similar vehicles, along with real-time global market data on millions of equities, indexes, futures, options, commodities, and precious metals, in addition to foreign exchange and Treasury markets. Morningstar is one of the largest independent sources of fund, equity, and credit data and research in the world, and our advocacy for investorsâ€™ interests is the foundation of our company.
The Role:
As a Senior Data Scientist, you will be a leading contributor in the implementation of Artificial Intelligence (AI) within Data Collections software applications. This role requires significant interaction with both upstream and downstream stakeholders across Technology, Data and Research.
The Senior Data Scientist will transition approved Data Collections AI products from a prototype phase to a fully-fledged, scalable, and consumer service. Often, these services must be integrated into Morningstarâ€™s platform of financial products, so that our clients can use these software tools in the investment decision-making process.
We are looking for an individual who possesses strong technical development skills, an ability to follow analyst requirements and technical specifications for robust code, and a passion for investment research.
This position reports to the Tech Manager of the Data Collections AI team.
Responsibilities
Design & develop enterprise solutions to be flexible, scalable & extensible.
Improve complex data flow, data structures and database design to move to next platform.
Be a Role Model to the team to collaborate on good object-oriented designs & domain modeling. Enforce good agile practices like test driven development, Continuous Integration.
Build solutions that incorporate numerical techniques such as linear algebra, machine leaning, statistics, and optimization.
Hands-on development will be an integral part of the responsibilities.
